,BI,EE,FC,H,HM,PE,PR,PV,SI,UB
BI,0.866,,,,,,,,,
EE,0.465,0.835,,,,,,,,
FC,0.498,0.659,0.777,,,,,,,
H,0.731,0.473,0.518,0.901,,,,,,
HM,0.769,0.554,0.559,0.732,0.813,,,,,
PE,0.655,0.657,0.514,0.608,0.687,0.805,,,,
PR,-0.291,-0.127,-0.110,-0.212,-0.277,-0.258,0.889,,,
PV,0.461,0.289,0.370,0.464,0.493,0.387,-0.139,0.806,,
SI,0.598,0.324,0.373,0.490,0.580,0.490,-0.199,0.499,0.844,
UB,0.728,0.495,0.473,0.745,0.662,0.580,-0.218,0.393,0.511,0.869
