,BI,EE,FC,H,HM,PE,PR,PV,SI,UB
PR5,-0.2918686150628445,-0.10310788941101806,-0.13627826004649757,-0.1875343423101709,-0.27499068071730065,-0.21130169573397872,0.9098096261072518,-0.10192082572970412,-0.19000253701535813,-0.20166195392602274
PV1,0.32082315300016173,0.1868693077777808,0.2972503388239909,0.34338136382006806,0.3926622682414561,0.29732096956181037,-0.12250490453819818,0.8465645397916818,0.47641592284245077,0.2527656755845417
PV2,0.3018115308210473,0.21488916200398353,0.2877042749639025,0.30433962439609213,0.382473352846441,0.2846833196936755,-0.11824834709474322,0.8660127790695845,0.39778585672333666,0.2435086569269346
PV3,0.45151613818678527,0.2893130751472152,0.3165659422226342,0.4221924498952734,0.41197846125559007,0.3577722840414485,-0.1085589777718744,0.6679066323149424,0.320905500152115,0.40451535948526823
PV4,0.36198461372554896,0.20435661062986174,0.3162565565143556,0.372394941285477,0.3781857756009546,0.2936341836554848,-0.07571792099326602,0.8418061275529125,0.4266216493963088,0.30341068280684264
SI1,0.5607329287967349,0.279190641547317,0.3472930643073165,0.48094523162538266,0.549531484937204,0.452444391940264,-0.18920481972276348,0.4385968130053845,0.8238820534613107,0.4840161520380741
SI2,0.4786053559749966,0.2693139461864148,0.33262139620402936,0.36495549266533905,0.4600387931905828,0.4422440086708443,-0.15194392572974671,0.40383879142190965,0.8557486542173921,0.42501391772308517
SI3,0.5094074534482732,0.28863480522109136,0.3138118581245612,0.4011832414300964,0.4876384965544338,0.48031401178491223,-0.22443609277571527,0.3852138108544021,0.8254338426398016,0.4197130117024429
SI4,0.48611786316331124,0.2571298885566904,0.32255770081656776,0.3966371999508913,0.46283307723530787,0.350446468549862,-0.11630903534710431,0.46192069407257735,0.8654276953161288,0.38555958662404094
UB1,0.6505424198858397,0.43669060515609553,0.42810615107797206,0.7055880553523147,0.5822350342713241,0.5351275500254132,-0.16769162781862862,0.3460158457431949,0.4556231798741151,0.8511038634038964
UB2,0.6210155133087412,0.4148688236396299,0.4214423889754738,0.6224227508991814,0.578625119250158,0.44942084513518604,-0.18553200804261125,0.37857565839247426,0.46229678897796306,0.8855251973871144
UB3,0.590697239873503,0.4048405827933815,0.40803320300099394,0.5930764895022463,0.564190133275408,0.47477474134114844,-0.1798239796800001,0.3135485870972765,0.4144486764770676,0.852301670903062
UB4,0.6618983235802124,0.46014766856797457,0.4046596781264028,0.659327553357685,0.5809588325313013,0.5239695469156203,-0.22570052562216728,0.3023890296590111,0.4200316045550034,0.8873099201613629
